"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.334185420E-1,1.878597002E-1,1.510573656E-1
1.533418542E0,1.601444090E-1,1.207782876E-1
2.033418542E0,1.921726632E-1,1.397309420E-1
2.533418542E0,1.780921077E-1,1.478203763E-1
3.033418542E0,1.843500462E-1,1.201284322E-1
3.533418542E0,2.104687475E-1,1.523383136E-1
4.033418542E0,1.876103475E-1,1.260820996E-1
4.533418542E0,5.758202231E-2,4.618952791E0
5.033418542E0,-8.678922484E-2,2.663686279E1
5.533418542E0,-4.109973947E-2,5.324853960E1
6.033418542E0,2.231257644E-1,6.749937106E1
6.533418542E0,7.072510108E-2,7.695128032E1
7.033418542E0,3.991545730E-1,8.479245401E1
7.533418542E0,1.812680058E0,8.950906889E1
8.033418542E0,1.206749028E2,9.001857225E1
8.533418542E0,-1.723227565E2,9.013957039E1
9.033418542E0,1.741455894E2,9.018598732E1
9.533418542E0,3.040315218E1,8.995563713E1
1.003341854E1,1.799481555E2,1.088005105E2
1.053341854E1,1.798748489E2,1.348106356E2
1.103341854E1,1.797788181E2,1.604036401E2
1.153341854E1,-1.799198154E2,1.751078269E2
1.203341854E1,-1.797496719E2,1.794566387E2
1.253341854E1,-1.796499865E2,1.798345566E2
1.303341854E1,-1.796553540E2,1.798207601E2
1.353341854E1,-1.796533032E2,1.798120467E2
1.403341854E1,-1.796316091E2,1.798252042E2
1.453341854E1,-1.796498253E2,1.798439024E2
1.503341854E1,-1.796425056E2,1.798279253E2
1.553341854E1,-1.796580388E2,1.798304538E2
1.603341854E1,-1.796643130E2,-1.768887699E2
1.653341854E1,-1.795464971E2,-1.545496959E2
1.703341854E1,-1.796817885E2,-1.260303765E2
1.753341854E1,-1.792075510E2,-1.046322558E2
1.803341854E1,-1.788309696E2,-9.147778692E1
1.853341854E1,-1.471865082E0,-8.951779052E1
1.903341854E1,-2.801794934E-1,-8.928309907E1
1.953341854E1,-1.815859471E-1,-8.904701742E1
2.003341854E1,2.869944541E-1,-8.882907560E1
2.053341854E1,-7.900198008E-1,-8.911400832E1
2.103341854E1,-1.810233734E-1,-8.942359623E1
2.153341854E1,-6.994210298E-1,-8.415450744E1
2.203341854E1,6.981472346E-1,-6.396554863E1
2.253341854E1,1.289795984E-1,-2.885670482E1
2.303341854E1,4.818849851E-1,-7.308698179E0
2.353341854E1,2.850969272E-1,-2.032506955E0
2.403341854E1,2.368936372E-1,-2.176173255E-1
2.453341854E1,2.512902402E-1,-2.467544979E-1
2.503341854E1,2.670374717E-1,-2.562572433E-1
2.553341854E1,2.389531278E-1,-2.581639804E-1
2.603341854E1,2.358058232E-1,-2.547346335E-1
2.653341854E1,2.571494027E-1,-2.727808345E-1
2.703341854E1,2.492023582E-1,-2.520596779E-1
2.766503546E1,7.502303442E-2,1.986197439E-1
2.816503546E1,6.711646526E-2,-1.612302972E-1
2.866503546E1,-1.213754790E0,-4.404181792E-1
2.916503546E1,-5.147239491E0,-3.666685411E0
2.966503546E1,-1.297856659E1,-7.360697856E0
3.016503546E1,-2.213072467E1,-1.505037899E0
3.066503546E1,-3.291121277E1,3.219241670E-1
3.116503546E1,-4.395081828E1,4.201367619E0
3.166503546E1,-5.101088218E1,9.535485415E0
3.216503546E1,-6.305358008E1,8.490307135E0
3.266503546E1,-7.252157487E1,1.130813041E1
3.316503546E1,-7.928408037E1,1.431482332E1
3.366503546E1,-8.441974945E1,1.667188826E1
3.416503546E1,-9.261816560E1,1.663549737E2
3.466503546E1,-1.009224963E2,1.743554489E2
3.516503546E1,-1.151905612E2,1.717037924E2
3.566503546E1,-1.307957288E2,1.738651976E2
3.616503546E1,-1.472085313E2,1.758330533E2
3.666503546E1,-1.666052141E2,1.770815840E2
3.716503546E1,1.732499538E2,1.761931279E2
3.766503546E1,1.595585491E2,1.759119317E2
3.816503546E1,1.464051450E2,1.769016936E2
3.866503546E1,1.356932476E2,1.756466517E2
3.916503546E1,1.286901156E2,1.755469730E2
3.966503546E1,1.186873815E2,1.687123975E2
4.016503546E1,1.069713192E2,1.623459844E2
4.066503546E1,8.852734109E1,4.550547897E1
4.116503546E1,6.335990763E1,-4.971351211E0
4.166503546E1,3.565246881E1,-7.714739887E0
4.216503546E1,1.944523796E1,-2.769327673E0
4.266503546E1,1.094056136E1,-5.588629013E-1
4.316503546E1,3.464961035E0,-6.505115926E-2
4.366503546E1,3.311053491E-1,4.913044104E-1
4.416503546E1,8.711091299E-2,2.041966137E-1
4.466503546E1,8.290829091E-2,2.349571660E-1
