"t (s)","Inclination (deg)","Rotation (deg)"
5.208168230E-1,3.254631563E-1,8.757290326E1
1.020816823E0,3.301757948E-1,8.797267726E1
1.520816823E0,3.418618032E-1,8.623301790E1
2.020816823E0,3.290570243E-1,8.615291732E1
2.520816823E0,3.419746340E-1,8.616679679E1
3.020816823E0,3.204351587E-1,9.249328622E1
3.520816823E0,3.254907025E-1,8.974859930E1
4.020816823E0,3.280667411E-1,8.653213351E1
4.520816823E0,3.337239605E-1,8.923342868E1
5.020816823E0,3.298018974E-1,8.669939414E1
5.520816823E0,3.450566505E-1,8.880247225E1
6.020816823E0,6.961816003E-1,1.470576135E2
6.520816823E0,7.704917144E0,1.767336879E2
7.020816823E0,1.794988624E1,1.783657934E2
7.520816823E0,3.264824812E1,1.786247779E2
8.020816823E0,5.026121373E1,1.789402970E2
8.520816823E0,6.598444194E1,1.792104190E2
9.020816823E0,8.224027557E1,1.795803406E2
9.520816823E0,9.030363436E1,1.796007726E2
1.002081682E1,9.307221059E1,1.794637393E2
1.052081682E1,9.300159609E1,1.793661415E2
1.102081682E1,9.308449052E1,1.793008008E2
1.152081682E1,9.302151737E1,1.791965248E2
1.202081682E1,9.287372837E1,1.791557624E2
1.252081682E1,9.291843450E1,1.790860816E2
1.302081682E1,9.848513092E1,-1.798456178E2
1.352081682E1,1.170642733E2,-1.792090109E2
1.402081682E1,1.469892740E2,1.742812808E2
1.452081682E1,1.713278308E2,1.484142035E2
1.502081682E1,1.771777860E2,1.207260646E2
1.552081682E1,1.788575964E2,1.215761810E2
1.602081682E1,1.793727850E2,9.850974850E1
1.652081682E1,1.794353027E2,9.594877642E1
1.702081682E1,1.794434644E2,9.699668504E1
1.752081682E1,1.794570199E2,9.696960200E1
1.802081682E1,1.794454452E2,9.778629025E1
1.852081682E1,1.794507070E2,9.564589033E1
1.902081682E1,1.794511800E2,9.663893249E1
1.952081682E1,1.794482010E2,9.650204489E1
2.002081682E1,1.788393695E2,6.244507526E1
2.052081682E1,1.708940356E2,5.506500775E0
2.102081682E1,1.505556561E2,7.049915838E-1
2.152081682E1,1.273638127E2,-1.431555310E-1
2.202081682E1,1.015052479E2,5.534940784E-1
2.252081682E1,8.878952752E1,3.782518255E-1
2.302081682E1,8.563156293E1,2.497796916E-1
2.352081682E1,8.641159668E1,2.419624586E-1
2.402081682E1,8.733558741E1,2.641349780E-1
2.452081682E1,8.741298212E1,2.687496412E-1
2.502081682E1,8.738862114E1,2.693637750E-1
2.552081682E1,8.728123901E1,2.700028057E-1
2.602081682E1,8.698707316E1,2.604491094E-1
2.652081682E1,8.587516582E1,2.563165522E-1
2.702081682E1,8.146725762E1,2.157119638E-1
2.752081682E1,6.833496394E1,-1.061662510E-1
2.802081682E1,4.461697725E1,-5.592251962E-2
2.852081682E1,2.536399566E1,-1.258667039E0
2.902081682E1,1.076970680E1,8.726357481E-1
2.952081682E1,2.874060183E0,1.309534055E0
3.002081682E1,3.741435172E-1,-2.105130327E1
3.052081682E1,3.317803859E-1,-1.153082737E1
3.102081682E1,3.198959162E-1,-1.433020307E1
3.152081682E1,3.334079158E-1,-1.278098766E1
3.202081682E1,3.015285076E-1,-1.444135511E1
3.302081682E1,3.296474072E-1,-1.295074803E1
